pal-1	tbx-8	tbx-9	elt-1	hnd-1	scrt-1	cwn-1	unc-120	hlh-1	nob-1	elt-3	nhr-25	mab-21	lin-26
pal-1	2	4	4	4	4	1	4	4	4	4	1	4	4	4
tbx-8	4	2	1	2	2	1	4	1	1	1	1	1	1	4
tbx-9	4	3	2	3	3	4	3	4	4	4	4	4	4	4
elt-1	4	2	1	2	2	4	4	1	1	1	1	1	1	4
hnd-1	4	2	1	2	2	1	4	1	1	1	1	1	1	4
scrt-1	3	3	4	4	3	2	3	4	4	5	4	4	5	5
cwn-1	4	4	1	4	4	1	2	1	1	1	1	1	1	4
unc-120	4	3	4	3	3	4	3	2	1	2	1	2	1	3
hlh-1	4	3	4	3	3	4	3	3	2	2	2	2	1	3
nob-1	4	3	4	3	3	5	3	2	2	2	2	2	1	3
elt-3	3	3	4	3	3	4	3	3	2	2	2	3	2	3
nhr-25	4	3	4	3	3	4	3	2	2	2	1	2	1	3
mab-21	4	3	4	3	3	5	3	3	3	3	2	3	2	3
lin-26	4	4	4	4	4	5	4	1	1	1	1	1	1	2
