pal-1	tbx-8	tbx-9	elt-1	hnd-1	scrt-1	cwn-1	unc-120	hlh-1	nob-1	elt-3	nhr-25	mab-21	lin-26
pal-1	1	0.288780488689	0.313707529216	0.260522451396	0.250024000576	0.472525634025	0.464371376704	0.191118483241	0.250357127449	0.210337807876	0.2228123209	0.204923709225	0.219921605764	0.372168323136
tbx-8	0.288780488689	1	0.555229148769	0.936662002969	0.926843276529	0.686664137104	0.775711755025	0.784859561929	0.681650035641	0.760455505681	0.678592070289	0.723360456036	0.422455801156	0.334027358401
tbx-9	0.313707529216	0.555229148769	1	0.580287438756	0.558058303089	0.494245556676	0.457280250625	0.300455267044	0.272451636961	0.2896377124	0.255600013761	0.251357838736	0.220982727744	0.332524069201
elt-1	0.260522451396	0.936662002969	0.580287438756	1	0.957918285289	0.740160826276	0.799627619961	0.73547776	0.573141357721	0.700038442489	0.598863942769	0.614732834401	0.339500832889	0.239572070521
hnd-1	0.250024000576	0.926843276529	0.558058303089	0.957918285289	1	0.755586870025	0.860221005361	0.774732675721	0.629826355456	0.752724554409	0.685607184196	0.655656195076	0.443970348721	0.325749855025
scrt-1	0.472525634025	0.686664137104	0.494245556676	0.740160826276	0.755586870025	1	0.8657930304	0.530294173369	0.395092702096	0.483125085184	0.401061290436	0.430406850916	0.236759123241	0.228107491236
cwn-1	0.464371376704	0.775711755025	0.457280250625	0.799627619961	0.860221005361	0.8657930304	1	0.705828498496	0.600519604624	0.668679081984	0.576534971401	0.627996021444	0.401636527504	0.340856301241
unc-120	0.191118483241	0.784859561929	0.300455267044	0.73547776	0.774732675721	0.530294173369	0.705828498496	1	0.933308634241	0.968289456289	0.873864127249	0.927767724849	0.699486340609	0.653483074689
hlh-1	0.250357127449	0.681650035641	0.272451636961	0.573141357721	0.629826355456	0.395092702096	0.600519604624	0.933308634241	1	0.950603550121	0.883152616644	0.932439365641	0.7555260241	0.688685876641
nob-1	0.210337807876	0.760455505681	0.2896377124	0.700038442489	0.752724554409	0.483125085184	0.668679081984	0.968289456289	0.950603550121	1	0.930690466729	0.9251746596	0.719836858624	0.670266415204
elt-3	0.2228123209	0.678592070289	0.255600013761	0.598863942769	0.685607184196	0.401061290436	0.576534971401	0.873864127249	0.883152616644	0.930690466729	1	0.828403967889	0.773383054084	0.662817426496
nhr-25	0.204923709225	0.723360456036	0.251357838736	0.614732834401	0.655656195076	0.430406850916	0.627996021444	0.927767724849	0.932439365641	0.9251746596	0.828403967889	1	0.610379687824	0.635853139216
mab-21	0.219921605764	0.422455801156	0.220982727744	0.339500832889	0.443970348721	0.236759123241	0.401636527504	0.699486340609	0.7555260241	0.719836858624	0.773383054084	0.610379687824	1	0.709641129604
lin-26	0.372168323136	0.334027358401	0.332524069201	0.239572070521	0.325749855025	0.228107491236	0.340856301241	0.653483074689	0.688685876641	0.670266415204	0.662817426496	0.635853139216	0.709641129604	1
