""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"1"	8	4	1	4	1	3	4	5	4	4	1	8	3	8	8	4	8	5
"2"	4	4	1	1	5	4	1	1	1	4	4	4	4	4	5	4	4	1
"3"	3	3	1	2	5	3	5	5	4	3	1	5	3	3	5	3	3	4
"4"	4	3	2	2	5	2	3	5	4	4	5	5	5	4	5	3	3	1
"5"	3	5	5	5	4	3	5	5	4	5	5	5	3	5	2	4	3	5
"6"	1	4	1	2	1	4	1	5	1	1	4	5	4	4	2	1	3	1
"7"	4	3	5	1	5	3	1	5	5	5	5	3	5	4	5	5	5	3
"8"	5	3	5	5	5	5	5	1	5	5	5	5	5	5	5	5	5	5
"9"	4	3	4	4	4	3	5	5	2	2	5	5	3	3	3	3	3	5
"10"	4	4	1	4	5	3	5	5	2	2	1	5	3	4	1	4	4	4
"11"	3	4	3	5	5	4	5	5	5	3	1	5	3	4	5	4	4	5
"12"	8	4	5	5	5	5	1	5	5	5	5	2	5	8	4	5	8	4
"13"	1	4	1	5	1	4	5	5	1	1	1	5	1	4	1	1	3	4
"14"	8	4	1	4	5	4	4	5	1	4	4	8	4	2	8	8	8	1
"15"	8	5	5	5	2	2	5	5	1	3	5	4	3	8	8	4	8	5
"16"	4	4	1	1	4	3	5	5	1	4	4	5	3	8	4	2	8	4
"17"	8	4	1	1	1	1	5	5	1	4	4	8	1	8	8	8	2	4
"18"	5	3	4	3	5	3	1	5	5	4	5	4	4	3	5	4	4	2
