""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"
"1"	2	5	2	5	5	5	3	5	3	3	5	3	5	3	2	3	5	5	3	5	3	2	3	3	5	3	5	2	5	2	5	5	5	2	2	2	3	3	3	5	3	5	3	3	2	5	5	3	3	5	3	2	5	2	2	5	3	2	3	3	2
"2"	5	2	5	5	5	5	5	5	3	3	5	5	5	3	2	3	5	5	3	5	3	5	5	5	5	3	5	2	5	5	5	5	5	5	2	5	5	3	3	5	3	5	3	3	2	5	5	3	3	5	3	2	5	2	5	5	3	5	3	3	2
"3"	3	5	5	3	3	5	3	5	3	3	3	3	5	3	2	3	5	3	3	5	3	5	3	3	3	3	3	2	5	3	5	3	5	5	5	5	3	3	3	3	3	3	3	3	2	5	5	3	3	5	3	5	3	2	5	5	3	4	3	3	5
"4"	5	5	2	2	5	5	5	5	3	3	5	5	5	3	2	3	5	5	3	5	3	2	5	5	5	3	5	2	5	2	2	5	5	2	2	2	5	3	3	5	3	2	3	3	2	5	5	3	3	5	3	2	5	2	2	2	3	2	3	3	2
"5"	5	5	2	5	2	5	5	2	3	3	5	5	5	3	2	3	5	5	3	2	3	5	5	5	5	3	5	2	2	2	2	5	5	2	2	2	5	3	3	2	3	2	3	3	2	5	2	3	3	2	3	2	2	2	2	2	3	2	3	3	2
"6"	5	5	5	5	5	2	5	5	3	3	5	5	5	3	5	3	5	5	3	5	3	5	5	5	5	3	5	5	5	5	5	5	5	5	5	2	5	3	3	5	3	5	3	3	2	5	5	3	3	5	3	5	5	5	5	5	3	2	3	3	5
"7"	2	5	2	5	5	5	2	5	1	1	5	5	5	1	2	1	5	5	1	2	1	2	5	5	5	1	5	2	2	2	2	5	5	2	2	2	5	1	1	5	1	2	1	1	2	5	2	1	1	2	1	2	5	2	2	2	1	2	1	1	2
"8"	5	5	5	5	3	5	5	2	3	3	5	5	2	3	2	3	5	5	3	5	3	5	3	3	5	3	5	2	5	5	5	5	5	2	5	2	3	3	3	3	3	5	3	3	2	2	5	3	3	5	3	2	3	5	5	5	3	2	3	3	5
"9"	2	2	2	2	2	2	1	2	2	1	2	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	2	1	1	2
"10"	2	2	2	2	2	2	1	2	1	1	2	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	2	1	1	2
"11"	5	5	2	5	5	5	5	5	3	3	2	5	5	3	2	3	5	5	3	5	3	5	5	5	5	3	5	2	5	5	5	5	5	5	2	2	5	3	3	5	3	5	3	3	2	5	5	3	3	5	3	2	5	2	2	5	3	2	3	3	5
"12"	2	5	2	5	5	5	5	5	3	3	5	2	2	3	2	3	5	5	3	2	3	2	5	5	5	3	5	2	2	2	5	5	5	2	2	2	5	3	3	5	3	2	3	3	2	5	2	3	3	2	3	2	5	2	2	2	3	2	3	3	2
"13"	5	5	5	5	5	5	5	3	3	3	5	3	2	3	2	3	5	5	3	5	3	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	2	5	5	3	3	5	3	5	3	5	5	5	3	5	3	3	5
"14"	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	2	1	1	2
"15"	3	3	3	3	3	5	3	3	3	3	3	3	3	3	2	3	5	3	3	5	3	3	3	3	3	3	3	5	3	3	3	3	5	3	3	4	3	3	3	3	3	3	3	3	5	3	3	3	3	5	3	5	3	5	3	3	3	4	3	3	5
"16"	2	2	2	2	2	2	1	2	1	1	2	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	2	1	1	2
"17"	5	5	5	5	5	5	5	5	3	3	5	5	5	3	5	3	2	5	3	5	3	5	5	5	5	3	5	5	5	5	5	5	5	5	5	2	5	3	3	5	3	5	3	3	2	5	5	3	3	5	3	5	5	5	5	5	3	2	3	3	5
"18"	5	5	2	5	5	5	5	5	3	3	5	5	5	3	2	3	5	2	3	2	3	5	5	5	5	3	5	5	5	5	5	5	5	5	2	2	5	3	3	5	3	5	3	3	2	5	2	3	3	5	3	2	5	2	2	5	3	5	3	3	2
"19"	2	2	2	2	2	2	1	2	1	1	2	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	2	1	1	2
"20"	5	5	5	5	3	5	3	5	3	3	5	3	5	3	5	3	5	3	3	5	3	5	3	3	5	3	5	4	5	5	5	5	5	5	5	2	3	3	3	3	3	5	3	3	2	5	5	3	3	5	3	5	3	5	5	5	3	2	3	3	5
"21"	2	2	2	2	2	2	1	2	1	1	2	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	2	1	1	2
"22"	3	5	5	3	5	5	3	5	3	3	5	3	5	3	2	3	5	5	3	5	3	2	3	3	5	3	5	2	2	5	5	5	5	5	2	2	3	3	3	3	3	3	3	3	2	5	5	3	3	5	3	2	3	2	3	2	3	2	3	3	2
"23"	2	5	2	5	5	5	5	2	1	1	5	5	5	1	2	1	5	5	1	2	1	2	2	1	5	1	5	2	2	2	2	5	5	2	2	2	5	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	5	2	2	2	1	2	1	1	2
"24"	2	5	2	5	5	5	5	2	1	1	5	5	5	1	2	1	5	5	1	2	1	2	1	2	5	1	5	2	2	2	2	5	5	2	2	2	5	1	1	5	1	2	1	1	2	2	2	1	1	2	1	2	5	2	2	2	1	2	1	1	2
"25"	5	5	2	5	5	5	5	5	3	3	5	5	5	3	2	3	5	5	3	5	3	5	5	5	2	3	5	2	2	2	2	5	5	5	2	2	5	3	3	5	3	5	3	3	2	5	2	3	3	5	3	2	5	2	2	2	3	2	3	3	2
"26"	2	2	2	2	2	2	1	2	1	1	2	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	2	1	1	2
"27"	5	5	2	5	5	5	5	5	3	3	5	5	5	3	2	3	5	5	3	5	3	5	5	5	5	3	2	2	5	5	5	5	5	5	2	2	5	3	3	5	3	5	3	3	2	5	5	3	3	5	3	2	5	2	5	5	3	2	3	3	5
"28"	3	3	3	3	3	5	3	3	3	3	3	3	5	3	5	3	5	5	3	4	3	3	3	3	3	3	3	2	5	3	3	3	5	3	3	4	3	3	3	3	3	3	3	3	4	3	3	3	3	4	3	5	3	5	3	3	3	4	3	3	5
"29"	5	5	5	5	3	5	3	5	3	3	5	3	5	3	2	3	5	5	3	5	3	3	3	3	3	3	5	5	2	5	5	5	5	5	5	2	3	3	3	5	3	5	3	3	2	5	5	3	3	5	3	2	5	2	5	5	3	2	3	3	5
"30"	3	5	2	3	3	5	3	5	3	3	5	3	5	3	2	3	5	5	3	5	3	5	3	3	3	3	5	2	5	2	5	5	5	5	2	2	3	3	3	5	3	5	3	3	2	5	5	3	3	5	3	2	3	2	5	5	3	2	3	3	2
"31"	5	5	5	3	3	5	3	5	3	3	5	5	5	3	2	3	5	5	3	5	3	5	3	3	3	3	5	2	5	5	5	5	5	5	2	2	3	3	3	5	3	5	3	3	2	5	5	3	3	5	3	2	3	2	5	5	3	2	3	3	5
"32"	5	5	2	5	5	5	5	5	3	3	5	5	5	3	2	3	5	5	3	5	3	5	5	5	5	3	5	2	5	5	5	2	5	5	2	5	5	3	3	5	3	5	3	3	2	5	5	3	3	5	3	2	5	2	5	5	3	2	3	3	5
"33"	5	5	5	5	5	5	5	5	3	3	5	5	5	3	5	3	5	5	3	5	3	5	5	5	5	3	5	5	5	5	5	5	2	5	5	5	5	3	3	5	3	5	3	3	5	5	5	3	3	5	3	5	5	5	5	5	3	2	3	3	5
"34"	3	5	5	3	3	5	3	3	3	3	5	3	5	3	2	3	5	5	3	5	3	5	3	3	5	3	5	2	5	5	5	5	5	2	5	5	3	3	3	3	3	3	3	3	2	5	5	3	3	5	3	2	3	2	5	3	3	2	3	3	5
"35"	3	3	5	3	3	5	3	5	3	3	3	3	5	3	2	3	5	3	3	5	3	3	3	3	3	3	3	2	5	3	3	3	5	5	5	4	3	3	3	5	3	3	3	3	5	5	5	3	3	5	3	5	3	2	3	5	3	4	3	3	5
"36"	3	5	5	3	3	3	3	3	3	3	3	3	5	3	4	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	5	5	5	4	2	3	3	3	3	3	3	3	3	5	5	3	3	3	3	3	5	3	4	3	3	3	2	3	3	5
"37"	2	5	2	5	5	5	5	2	3	3	5	5	2	3	2	3	5	5	3	2	3	2	5	5	5	3	5	2	2	2	2	5	5	2	2	2	2	3	3	2	3	2	3	3	2	2	2	3	3	2	3	2	2	2	2	2	3	2	3	3	2
"38"	2	2	2	2	2	2	1	2	1	1	2	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	2	1	1	2
"39"	2	2	2	2	2	2	1	2	1	1	2	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	1	2	1	1	2
