COL_ID,pal-1,tbx-8,tbx-9,elt-1,hnd-1,scrt-1,cwn-1,unc-120,hlh-1,nob-1,elt-3,nhr-25,mab-21,lin-26
pal-1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
tbx-8,1,1,1,1,1,1,1,1,1,0,1,1,0,1
tbx-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
elt-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hnd-1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
scrt-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cwn-1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
unc-120,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hlh-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nob-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
elt-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nhr-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mab-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lin-26,1,1,1,1,1,1,1,1,1,0,1,1,0,1
