,tbx-9 190539_s_at,scrt-1 192307_at,pal-1 174043_at,pal-1 193341_at,pal-1 193342_s_at,lin-26 190309_at,lin-26 174037_at,cwn-1 188486_s_at,elt-1 192655_s_at,hnd-1 192707_at,tbx-8 190477_at,mab-21 188239_s_at,elt-3 175801_at,nob-1 191468_s_at,nhr-25 175663_at,unc-120 188706_at,hlh-1 193759_at,nhr-25 193001_s_at,nob-1 175771_at
tbx-9 190539_s_at,2,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4
scrt-1 192307_at,4,2,3,4,4,5,5,3,4,3,3,5,4,5,4,4,4,5,5
pal-1 174043_at,4,1,2,1,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4
pal-1 193341_at,4,4,3,2,2,4,4,4,4,4,4,4,1,4,4,4,4,4,4
pal-1 193342_s_at,4,4,3,2,2,4,4,4,4,4,4,4,1,4,4,4,4,4,4
lin-26 190309_at,4,5,4,4,4,2,3,4,4,4,4,1,1,4,4,4,4,4,4
lin-26 174037_at,4,5,4,4,4,1,2,4,4,4,4,1,1,1,1,1,1,1,1
cwn-1 188486_s_at,1,1,4,4,4,4,4,2,4,4,4,1,1,1,1,1,1,1,1
elt-1 192655_s_at,1,4,4,4,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1
hnd-1 192707_at,1,1,4,4,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1
tbx-8 190477_at,1,1,4,4,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1
mab-21 188239_s_at,4,5,4,4,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3
elt-3 175801_at,4,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2
nob-1 191468_s_at,4,5,4,4,4,4,3,3,3,3,3,1,2,2,4,3,1,2,2
nhr-25 175663_at,4,4,4,4,4,4,3,3,3,3,3,1,1,4,2,2,2,2,2
unc-120 188706_at,4,4,4,4,4,4,3,3,3,3,3,1,1,1,2,2,1,2,2
hlh-1 193759_at,4,4,4,4,4,4,3,3,3,3,3,1,2,3,2,3,2,2,2
nhr-25 193001_s_at,4,5,4,4,4,4,3,3,3,3,3,1,2,2,2,2,2,2,2
nob-1 175771_at,4,5,4,4,4,4,3,3,3,3,3,1,2,2,2,2,2,2,2
