,tbx-9 190539_s_at,scrt-1 192307_at,pal-1 174043_at,pal-1 193341_at,pal-1 193342_s_at,lin-26 190309_at,lin-26 174037_at,cwn-1 188486_s_at,elt-1 192655_s_at,hnd-1 192707_at,tbx-8 190477_at,mab-21 188239_s_at,elt-3 175801_at,nob-1 191468_s_at,nhr-25 175663_at,unc-120 188706_at,hlh-1 193759_at,nhr-25 193001_s_at,nob-1 175771_at
tbx-9 190539_s_at,1,0.494244952395168,0.313708011641417,0.385452255246532,0.288911679062749,0.33017346140442,0.332524626131057,0.457279633651286,0.58028790718479,0.558058923738021,0.555229257611099,0.220982307237552,0.255600232382592,0.252767761253964,0.251357659688561,0.30045538133912,0.272451661446112,0.226419431690415,0.289637530516755
scrt-1 192307_at,0.494244952395168,1,0.472525070235533,0.319531257297644,0.332121095275627,0.232991085307578,0.228107524919224,0.865792128515113,0.740160037008562,0.755586056149129,0.686664806733994,0.236759445491204,0.401061140492093,0.429783381749526,0.430406539812848,0.530294107684457,0.395092640108822,0.392989424582222,0.483124824565468
pal-1 174043_at,0.313708011641417,0.472525070235533,1,0.451756396404671,0.556523300038,0.268065104598695,0.372168788932499,0.464370881245,0.260522585305138,0.250023768660088,0.288780442128672,0.219921501345066,0.222812529685597,0.21063687574864,0.204923627222916,0.191118530929305,0.250356678148295,0.159564512492749,0.21033771282888
pal-1 193341_at,0.385452255246532,0.319531257297644,0.451756396404671,1,0.917587436739503,0.600594912909641,0.441243759623158,0.363195152662404,0.208620228408022,0.230097112767395,0.253675488515016,0.217364439289401,0.253713904766503,0.219345937995292,0.198810865915234,0.206678454655427,0.225900314234937,0.164085361041251,0.212536539013892
pal-1 193342_s_at,0.288911679062749,0.332121095275627,0.556523300038,0.917587436739503,1,0.552556578652683,0.495435859748764,0.38083006105872,0.214227852123532,0.236696046339738,0.252921191333663,0.191638632051482,0.250192100713891,0.217148206656661,0.195097403920325,0.188898439197985,0.218774250172227,0.177679637565228,0.204855239628047
lin-26 190309_at,0.33017346140442,0.232991085307578,0.268065104598695,0.600594912909641,0.552556578652683,1,0.841159400938006,0.210303720039196,0.169156480564469,0.221935432829054,0.235672610324844,0.624894750571912,0.55533056135239,0.55265093047686,0.466470165468869,0.497921690811326,0.544848439577402,0.497648720008433,0.518893113840748
lin-26 174037_at,0.332524626131057,0.228107524919224,0.372168788932499,0.441243759623158,0.495435859748764,0.841159400938006,1,0.340856063418585,0.239572069628606,0.325749554430458,0.33402718946259,0.709640845332988,0.662817623035635,0.627514353044847,0.635853160390617,0.6534831290766,0.688685705674506,0.628787208498505,0.670267217688072
cwn-1 188486_s_at,0.457279633651286,0.865792128515113,0.464370881245,0.363195152662404,0.38083006105872,0.210303720039196,0.340856063418585,1,0.799627762032992,0.860220669142542,0.7757115511637,0.401636637666598,0.576535641558174,0.58017988232634,0.627995293057589,0.705828707906261,0.600519189080502,0.556909731078852,0.668679041343022
elt-1 192655_s_at,0.58028790718479,0.740160037008562,0.260522585305138,0.208620228408022,0.214227852123532,0.169156480564469,0.239572069628606,0.799627762032992,1,0.957919195973683,0.936661260550059,0.339500804077146,0.598863296467435,0.654442830163017,0.614733567542418,0.735478113692862,0.573141462635411,0.575837267206038,0.700038023501726
hnd-1 192707_at,0.558058923738021,0.755586056149129,0.250023768660088,0.230097112767395,0.236696046339738,0.221935432829054,0.325749554430458,0.860220669142542,0.957919195973683,1,0.926842643198737,0.443970968526305,0.685607090683492,0.710997339238001,0.655656171411313,0.774732897946834,0.629826770924143,0.607343085427456,0.7527251958078
tbx-8 190477_at,0.555229257611099,0.686664806733994,0.288780442128672,0.253675488515016,0.252921191333663,0.235672610324844,0.33402718946259,0.7757115511637,0.936661260550059,0.926842643198737,1,0.422455409723065,0.678592677070778,0.712643170453966,0.723360950522776,0.784859594294338,0.68165050683439,0.659351251660776,0.760455444611835
mab-21 188239_s_at,0.220982307237552,0.236759445491204,0.219921501345066,0.217364439289401,0.191638632051482,0.624894750571912,0.709640845332988,0.401636637666598,0.339500804077146,0.443970968526305,0.422455409723065,1,0.773383482900781,0.686203528839139,0.610379015120176,0.69948638343566,0.755526793164009,0.587885110107219,0.719837134768768
elt-3 175801_at,0.255600232382592,0.401061140492093,0.222812529685597,0.253713904766503,0.250192100713891,0.55533056135239,0.662817623035635,0.576535641558174,0.598863296467435,0.685607090683492,0.678592677070778,0.773383482900781,1,0.94546739929945,0.828403407470153,0.873864324565082,0.883151866126373,0.833201677588435,0.930691260338852
