,tbx-9 190539_s_at,scrt-1 192307_at,pal-1 174043_at,pal-1 193341_at,pal-1 193342_s_at,lin-26 190309_at,lin-26 174037_at,cwn-1 188486_s_at,elt-1 192655_s_at,hnd-1 192707_at,tbx-8 190477_at,mab-21 188239_s_at,elt-3 175801_at,nob-1 191468_s_at,nhr-25 175663_at,unc-120 188706_at,hlh-1 193759_at,nhr-25 193001_s_at,nob-1 175771_at
tbx-9 190539_s_at,1,0.510713508997161,-0.098599420292297,0.358939845503239,0.269515826412803,0.063492885040363,-0.0856979137581419,0.481906993512124,0.580867723421672,0.568234366332464,0.576479123599396,0.0654598359950682,0.0977441814204041,0.130254901399702,0.0601289363185387,0.175982595699869,0.102195810310875,-0.00236838690386393,0.124855215629816
scrt-1 192307_at,0.510713508997161,1,0.519282072385673,0.251219781894031,0.252448823865981,-0.167737429837159,-0.0856216501624639,0.852644151137616,0.635874564757966,0.614063453758152,0.607693084214067,0.0278178539436815,0.137267471809956,0.229339800454704,0.322734013266029,0.366085204304706,0.224032440805206,0.185688788055138,0.279011252054398
pal-1 174043_at,-0.098599420292297,0.519282072385673,1,0.408534247755992,0.547159179476062,-0.0292137547494243,0.199149421247952,0.40045137273467,-0.0368850349116865,0.0431736842592551,0.0240305687086001,0.00431519779520981,-0.00319120844208866,-0.0204046455763064,0.151102231755434,0.0870923955855836,0.0385222007630264,-0.0212817034562616,0.0721598983639519
pal-1 193341_at,0.358939845503239,0.251219781894031,0.408534247755992,1,0.925998554196741,0.617613027721974,0.41709761317651,0.182632289203624,0.0681968883212909,0.0998900455321637,0.114525586147863,0.188785760521754,0.0789866483001221,0.144017847608867,0.136681738982906,0.15617162451396,0.148507180205881,0.0482171979625288,0.123114725109817
pal-1 193342_s_at,0.269515826412803,0.252448823865981,0.547159179476062,0.925998554196741,1,0.521818244833463,0.428770417540518,0.125988468115983,0.0255074963565299,0.0385532941949305,0.0494783656025532,0.114477789802106,0.0219913953769815,0.076629027227999,0.0890875067614719,0.0865630342719702,0.0512307994269507,-0.0321190580105833,0.0529614958878124
lin-26 190309_at,0.063492885040363,-0.167737429837159,-0.0292137547494243,0.617613027721974,0.521818244833463,1,0.85132029873593,0.0284564832576724,0.103607229550085,0.215374320504853,0.23001735235697,0.652762101392112,0.557382244349607,0.599333154042257,0.468165588332371,0.521060952904387,0.588495885520216,0.466909029820598,0.551841953536883
lin-26 174037_at,-0.0856979137581419,-0.0856216501624639,0.199149421247952,0.41709761317651,0.428770417540518,0.85132029873593,1,0.167614094538785,0.160647946636499,0.311205055612567,0.301099985649195,0.727083617248741,0.706883723607206,0.693552805162032,0.668367759086811,0.693322454233422,0.722592138160968,0.596310302409269,0.725069398919705
cwn-1 188486_s_at,0.481906993512124,0.852644151137616,0.40045137273467,0.182632289203624,0.125988468115983,0.0284564832576724,0.167614094538785,1,0.740605148583418,0.837691880430086,0.772696993248311,0.33014960932209,0.507121369168478,0.531923009027433,0.615910857570222,0.684320082757784,0.578445451010037,0.476171254443925,0.628267815578409
elt-1 192655_s_at,0.580867723421672,0.635874564757966,-0.0368850349116865,0.0681968883212909,0.0255074963565299,0.103607229550085,0.160647946636499,0.740605148583418,1,0.915467022866696,0.895125395344615,0.174148548852351,0.492566353192681,0.60727816299655,0.587326462413213,0.671876310105044,0.498726934097879,0.540335671439301,0.605261027722711
hnd-1 192707_at,0.568234366332464,0.614063453758152,0.0431736842592551,0.0998900455321637,0.0385532941949305,0.215374320504853,0.311205055612567,0.837691880430086,0.915467022866696,1,0.916940857908993,0.428318555185186,0.690015208781883,0.730183721919223,0.677705118465717,0.787977603184291,0.668439717471136,0.603959577620858,0.759556853694227
tbx-8 190477_at,0.576479123599396,0.607693084214067,0.0240305687086001,0.114525586147863,0.0494783656025532,0.23001735235697,0.301099985649195,0.772696993248311,0.895125395344615,0.916940857908993,1,0.404353874071549,0.614323330285975,0.708599982440315,0.716621492987461,0.771187869059068,0.68232935561156,0.640055494363927,0.71756823840188
mab-21 188239_s_at,0.0654598359950682,0.0278178539436815,0.00431519779520981,0.188785760521754,0.114477789802106,0.652762101392112,0.727083617248741,0.33014960932209,0.174148548852351,0.428318555185186,0.404353874071549,1,0.812872726711906,0.713049045324765,0.581058801473457,0.703545775264788,0.780027684906368,0.474285314091897,0.755428912935008
elt-3 175801_at,0.0977441814204041,0.137267471809956,-0.00319120844208866,0.0789866483001221,0.0219913953769815,0.557382244349607,0.706883723607206,0.507121369168478,0.492566353192681,0.690015208781883,0.614323330285975,0.812872726711906,1,0.918670543126895,0.784085462368911,0.854498992508281,0.88116620160586,0.725456855719732,0.940811393725062
nob-1 191468_s_at,0.130254901399702,0.229339800454704,-0.0204046455763064,0.144017847608867,0.076629027227999,0.599333154042257,0.693552805162032,0.531923009027433,0.60727816299655,0.730183721919223,0.708599982440315,0.713049045324765,0.918670543126895,1,0.824517169516757,0.90919932163262,0.906268797368311,0.830588523154583,0.948014860193137
nhr-25 175663_at,0.0601289363185387,0.322734013266029,0.151102231755434,0.136681738982906,0.0890875067614719,0.468165588332371,0.668367759086811,0.615910857570222,0.587326462413213,0.677705118465717,0.716621492987461,0.581058801473457,0.784085462368911,0.824517169516757,1,0.922929987171935,0.904779970140325,0.908777688734763,0.902762813856401
unc-120 188706_at,0.175982595699869,0.366085204304706,0.0870923955855836,0.15617162451396,0.0865630342719702,0.521060952904387,0.693322454233422,0.684320082757784,0.671876310105044,0.787977603184291,0.771187869059068,0.703545775264788,0.854498992508281,0.90919932163262,0.922929987171935,1,0.937388263522787,0.848223553921662,0.960401737195141
hlh-1 193759_at,0.102195810310875,0.224032440805206,0.0385222007630264,0.148507180205881,0.0512307994269507,0.588495885520216,0.722592138160968,0.578445451010037,0.498726934097879,0.668439717471136,0.68232935561156,0.780027684906368,0.88116620160586,0.906268797368311,0.904779970140325,0.937388263522787,1,0.832765518357018,0.955053020365918
nhr-25 193001_s_at,-0.00236838690386393,0.185688788055138,-0.0212817034562616,0.0482171979625288,-0.0321190580105833,0.466909029820598,0.596310302409269,0.476171254443925,0.540335671439301,0.603959577620858,0.640055494363927,0.474285314091897,0.725456855719732,0.830588523154583,0.908777688734763,0.848223553921662,0.832765518357018,1,0.824119276403757
nob-1 175771_at,0.124855215629816,0.279011252054398,0.0721598983639519,0.123114725109817,0.0529614958878124,0.551841953536883,0.725069398919705,0.628267815578409,0.605261027722711,0.759556853694227,0.71756823840188,0.755428912935008,0.940811393725062,0.948014860193137,0.902762813856401,0.960401737195141,0.955053020365918,0.824119276403757,1
