	pal-1	tbx-8	tbx-9	elt-1	hnd-1	scrt-1	cwn-1	unc-120	hlh-1	nob-1	elt-3	nhr-25	mab-21	lin-26
pal-1	1	2	1	2	2	2	2	2	2	2	2	2	2	1
tbx-8	3	1	3	3	3	5	3	2	2	2	2	5	2	3
tbx-9	1	2	1	2	2	2	2	2	2	2	2	2	2	1
elt-1	3	2	3	1	3	2	5	2	2	2	2	2	2	3
hnd-1	3	2	3	2	1	2	5	2	2	2	2	2	2	3
scrt-1	3	5	3	3	3	1	3	5	5	5	5	5	5	3
cwn-1	3	2	3	5	5	2	1	2	2	2	2	5	2	3
unc-120	3	3	3	3	3	5	3	1	5	2	2	5	2	3
hlh-1	3	3	3	3	3	5	3	5	1	5	2	5	2	3
nob-1	3	3	3	3	3	5	3	3	5	1	2	3	2	3
elt-3	3	3	3	3	3	5	3	3	3	3	1	3	2	3
nhr-25	3	5	3	3	3	5	5	5	5	2	2	1	2	3
mab-21	3	3	3	3	3	5	3	3	3	3	3	3	1	3
lin-26	1	2	1	2	2	2	2	2	2	2	2	2	2	1
